Ref,Val,Package,PosX,PosY,Rot,Side
"C1001","470p / X7R / 16V","C_0402",-130.937000,-78.105000,90.000000,bottom
"C1002","470p / X7R / 16V","C_0402",-130.937000,-81.661000,270.000000,bottom
"R1001","1k / 1%","R_0402",-129.667000,-78.486000,0.000000,bottom
"R1002","1k / 1%","R_0402",-129.667000,-81.280000,0.000000,bottom
